readout_gene,readout_class,replicate,assay,Drug,day,Concentration,bias,num_reads,cell_density,extra_umi
Adamtsl4,MAE,2,no-UMI,Garcinol,07,20uM,1,4,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,Splitomicin,07,20uM,0.852057842,1798,VG,
Adamtsl4,MAE,2,no-UMI,BML-210,07,20uM,0.967741935,31,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,20uM,0.7,181,SMALL DARK SPOTS,
Adamtsl4,MAE,2,no-UMI,Zebularine,07,20uM,0.816023739,337,VG,
Adamtsl4,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,20uM,0.842892768,401,VG,
Adamtsl4,MAE,2,no-UMI,EX-527,07,20uM,0.812206573,640,VG,
Adamtsl4,MAE,2,no-UMI,Nicotinamide,07,20uM,0.837645865,1972,VG,
Adamtsl4,MAE,2,no-UMI,BML-266,07,20uM,NA,0,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,Piceatannol,07,20uM,0.839622642,106,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,Fluoro-SAHA,07,20uM,1,4,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,AGK2,07,20uM,0.820591233,981,VG,
Adamtsl4,MAE,2,no-UMI,Salermide,07,20uM,0.708727273,2750,VG,
Adamtsl4,MAE,2,no-UMI,Anacardic_acid,07,20uM,0.749748744,995,VG,
Adamtsl4,MAE,2,no-UMI,B2,07,20uM,0.873126873,2002,VG,
Adamtsl4,MAE,2,no-UMI,CTPB,07,20uM,0.757271815,997,VG,
Adamtsl4,MAE,2,no-UMI,Sirtinol,07,20uM,0.776790672,1801,VG,
Adamtsl4,MAE,2,no-UMI,Suramin6Na,07,20uM,0.779850746,536,VG,
Adamtsl4,MAE,2,no-UMI,BML-278,07,20uM,0.784560144,557,VG,
Adamtsl4,MAE,2,no-UMI,CI-994,07,20uM,0.857142857,7,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,NSC-3852,07,20uM,0.833333333,6,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,Aminoresveratrol_sulfate,07,20uM,0.806752874,1392,VG,
Adamtsl4,MAE,2,no-UMI,BML-281,07,20uM,0.817113305,2127,VG,
Adamtsl4,MAE,2,no-UMI,Triacetylresveratrol,07,20uM,0.878898129,1924,VG,
Adamtsl4,MAE,2,no-UMI,Garcinol,07,10uM,0.78802589,618,VG,
Adamtsl4,MAE,2,no-UMI,Splitomicin,07,10uM,0.842213115,3417,VG,
Adamtsl4,MAE,2,no-UMI,BML-210,07,10uM,0.88026364,2732,VG,
Adamtsl4,MAE,2,no-UMI,5-Aza-2-deoxycytidine,07,10uM,0.773333333,225,SMALL DARK  ,
Adamtsl4,MAE,2,no-UMI,Zebularine,07,10uM,0.881443299,388,VG,
Adamtsl4,MAE,2,no-UMI,Tranylcypromine_hemisulfate,07,10uM,0.814569536,302,VG,
Adamtsl4,MAE,2,no-UMI,EX-527,07,10uM,0.794500724,691,VG,
Adamtsl4,MAE,2,no-UMI,Nicotinamide,07,10uM,0.810165975,965,VG,
Adamtsl4,MAE,2,no-UMI,BML-266,07,10uM,1,3,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,Piceatannol,07,10uM,0.871040724,2653,VG,
Adamtsl4,MAE,2,no-UMI,Fluoro-SAHA,07,10uM,0.5,4,DIFFUSE,
Adamtsl4,MAE,2,no-UMI,AGK2,07,10uM,0.844023324,1372,VG,
Adamtsl4,MAE,2,no-UMI,Salermide,07,10uM,0.76716141,4312,VG,
Adamtsl4,MAE,2,no-UMI,Anacardic_acid,07,10uM,0.828639515,4618,VG,
